order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
155,CD4_Treg__ZFP36L2,CD4_Treg,ZFP36L2,-0.3788220588188136,0.3788220588188136,RNA,model_prediction,True
156,CD4_Helper__SH3BP5,CD4_Helper,SH3BP5,0.3782826733210019,0.3782826733210019,RNA,model_prediction,True
157,DC__S100A11,DC,S100A11,0.3781164135731509,0.3781164135731509,RNA,model_prediction,True
158,Swit.Bm__DPF3,Swit.Bm,DPF3,0.3777607259901624,0.3777607259901624,RNA,model_prediction,True
159,cMono__PCBP2,cMono,PCBP2,-0.3774740625881312,0.3774740625881312,RNA,model_prediction,True
160,DC__TPPP3,DC,TPPP3,0.3774555275767784,0.3774555275767784,RNA,model_prediction,True
161,CD4_Tcm__LGALS1,CD4_Tcm,LGALS1,0.3762479501854145,0.3762479501854145,RNA,model_prediction,True
162,Swit.Bm__GNAI2,Swit.Bm,GNAI2,0.376113713441266,0.376113713441266,RNA,model_prediction,True
163,cMono__CYB5R3,cMono,CYB5R3,-0.3760559038377311,0.3760559038377311,RNA,model_prediction,True
164,CD4_Naïve__MARCKSL1,CD4_Naïve,MARCKSL1,-0.3759588088690381,0.3759588088690381,RNA,model_prediction,True
165,CD8_CTL__NEIL1,CD8_CTL,NEIL1,-0.374909489778307,0.374909489778307,RNA,model_prediction,True
166,CD4_Tcm__NSG1,CD4_Tcm,NSG1,-0.3748519935271033,0.3748519935271033,RNA,model_prediction,True
167,CD8_CTL__TMIGD2,CD8_CTL,TMIGD2,-0.3747588041260601,0.3747588041260601,RNA,model_prediction,True
168,DC__P2RY13,DC,P2RY13,0.3746739181733987,0.3746739181733987,RNA,model_prediction,True
169,CD8_Tem__PLD1,CD8_Tem,PLD1,0.3744422405435927,0.3744422405435927,RNA,model_prediction,True
170,CD8_CTL__IRF2BP2,CD8_CTL,IRF2BP2,-0.3742999537614443,0.3742999537614443,RNA,model_prediction,True
171,cMono__KDM2A,cMono,KDM2A,-0.3732946933607159,0.3732946933607159,RNA,model_prediction,True
172,CD4_Tcm__SESN3,CD4_Tcm,SESN3,0.3731151538288889,0.3731151538288889,RNA,model_prediction,True
173,cMono__SETD1B,cMono,SETD1B,-0.37286747511596,0.37286747511596,RNA,model_prediction,True
174,DC__LRIG2,DC,LRIG2,-0.3724851606742944,0.3724851606742944,RNA,model_prediction,True
175,Naïve_B__NCOR1,Naïve_B,NCOR1,0.3722843826947061,0.3722843826947061,RNA,model_prediction,True
176,CD8_CTL__DGKA,CD8_CTL,DGKA,-0.3718090527395845,0.3718090527395845,RNA,model_prediction,True
177,CD8_CTL__IRS2,CD8_CTL,IRS2,-0.3714983152587645,0.3714983152587645,RNA,model_prediction,True
178,cMono__KHSRP,cMono,KHSRP,-0.3714866416314876,0.3714866416314876,RNA,model_prediction,True
179,cMono__ATF6B,cMono,ATF6B,-0.3714748598403883,0.3714748598403883,RNA,model_prediction,True
180,CD4_Naïve__SLC25A5,CD4_Naïve,SLC25A5,-0.3714181554888034,0.3714181554888034,RNA,model_prediction,True
181,CD4_Treg__EZR,CD4_Treg,EZR,0.3712627966132777,0.3712627966132777,RNA,model_prediction,True
182,DC__TCF7,DC,TCF7,-0.3707830369288192,0.3707830369288192,RNA,model_prediction,True
183,Swit.Bm__GRAMD1C,Swit.Bm,GRAMD1C,0.370430521910625,0.370430521910625,RNA,model_prediction,True
184,CD4_Naïve__HIF1A,CD4_Naïve,HIF1A,-0.3704158215821274,0.3704158215821274,RNA,model_prediction,True
185,DC__SERPINA1,DC,SERPINA1,0.3695825443639023,0.3695825443639023,RNA,model_prediction,True
186,Naïve_B__EIF3H,Naïve_B,EIF3H,-0.3686673024540103,0.3686673024540103,RNA,model_prediction,True
187,NKbright__VPS4B,NKbright,VPS4B,0.3683276003807015,0.3683276003807015,RNA,model_prediction,True
188,immature_T__MT-CO3,immature_T,MT-CO3,-0.3679973003393572,0.3679973003393572,RNA,model_prediction,True
189,CD4_Naïve__PDE7A,CD4_Naïve,PDE7A,-0.3679363206175653,0.3679363206175653,RNA,model_prediction,True
190,CD4_Naïve__BCL2,CD4_Naïve,BCL2,0.3678131627767997,0.3678131627767997,RNA,model_prediction,True
191,cMono__TXNIP,cMono,TXNIP,-0.3676246034425882,0.3676246034425882,RNA,model_prediction,True
192,CD8_CTL__ZFP36L2,CD8_CTL,ZFP36L2,-0.3670739560666174,0.3670739560666174,RNA,model_prediction,True
193,cMono__HNRNPL,cMono,HNRNPL,-0.3666231008052077,0.3666231008052077,RNA,model_prediction,True
194,cMono__SDCBP,cMono,SDCBP,-0.3665885230162815,0.3665885230162815,RNA,model_prediction,True
